Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
vascular transport (GO:0010232)	1/84	0.41997756607165687	0.4807823988699102	0	0	1.8625753012048192	1.6158846216566236	SLC1A5
positive regulation of protein catabolic process (GO:0045732)	1/85	0.4237344825436464	0.4846752701929008	0	0	1.8403087797619047	1.5801778953953831	HUWE1
negative regulation of phosphorylation (GO:0042326)	1/86	0.42746725210909087	0.4868973725865691	0	0	1.8185661764705883	1.5455586516680218	CORO1C
glucose homeostasis (GO:0042593)	1/86	0.42746725210909087	0.4868973725865691	0	0	1.8185661764705883	1.5455586516680218	IGF1R
response to interleukin-1 (GO:0070555)	1/86	0.42746725210909087	0.4868973725865691	0	0	1.8185661764705883	1.5455586516680218	APP
positive regulation of proteasomal protein catabolic process (GO:1901800)	1/86	0.42746725210909087	0.4868973725865691	0	0	1.8185661764705883	1.5455586516680218	RNF217
transport across blood-brain barrier (GO:0150104)	1/86	0.42746725210909087	0.4868973725865691	0	0	1.8185661764705883	1.5455586516680218	SLC1A5
negative regulation of angiogenesis (GO:0016525)	1/87	0.4311760287689109	0.4898908931710266	0	0	1.797329215116279	1.5119831671028794	CREB3L1
calcium ion transmembrane transport (GO:0070588)	1/87	0.4311760287689109	0.4898908931710266	0	0	1.797329215116279	1.5119831671028794	TRPM7
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	1/87	0.4311760287689109	0.4898908931710266	0	0	1.797329215116279	1.5119831671028794	PSMD2
collagen fibril organization (GO:0030199)	1/89	0.4385222144438252	0.496164901533779	0	0	1.7563032670454546	1.4477994801226213	GREM1
regulation of type I interferon production (GO:0032479)	1/89	0.4385222144438252	0.496164901533779	0	0	1.7563032670454546	1.4477994801226213	NFKB2
positive regulation of inflammatory response (GO:0050729)	1/89	0.4385222144438252	0.496164901533779	0	0	1.7563032670454546	1.4477994801226213	APP
transforming growth factor beta receptor signaling pathway (GO:0007179)	1/89	0.4385222144438252	0.496164901533779	0	0	1.7563032670454546	1.4477994801226213	ITGB1
protein import (GO:0017038)	1/89	0.4385222144438252	0.496164901533779	0	0	1.7563032670454546	1.4477994801226213	NUP93
cellular amino acid catabolic process (GO:0009063)	1/90	0.44215992659782927	0.49862147609705454	0	0	1.7364817415730338	1.417114336055017	GLUL
negative regulation of translation (GO:0017148)	1/90	0.44215992659782927	0.49862147609705454	0	0	1.7364817415730338	1.417114336055017	CELF1
regulation of mRNA splicing, via spliceosome (GO:0048024)	1/90	0.44215992659782927	0.49862147609705454	0	0	1.7364817415730338	1.417114336055017	CELF1
protein complex oligomerization (GO:0051259)	1/90	0.44215992659782927	0.49862147609705454	0	0	1.7364817415730338	1.417114336055017	ALAD
regulation of stem cell differentiation (GO:2000736)	1/91	0.44577425216900807	0.5022808475143753	0	0	1.7171006944444445	1.3873188272810713	PSMD2
cellular response to fibroblast growth factor stimulus (GO:0044344)	1/92	0.44936534034012293	0.5050717874897249	0	0	1.6981456043956045	1.358379012692975	FLRT2
regulation of lipid metabolic process (GO:0019216)	1/92	0.44936534034012293	0.5050717874897249	0	0	1.6981456043956045	1.358379012692975	NR1D2
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	1/92	0.44936534034012293	0.5050717874897249	0	0	1.6981456043956045	1.358379012692975	NUP93
positive regulation of macromolecule metabolic process (GO:0010604)	3/384	0.45179578292956396	0.5073841988308894	0	0	1.2179727534058242	0.9677098127685904	GREM1;APP;CELF1
regulation of epithelial cell proliferation (GO:0050678)	1/93	0.45293333927707	0.5078230349685203	0	0	1.679602581521739	1.3302625751095303	CDC73
visual perception (GO:0007601)	1/93	0.45293333927707	0.5078230349685203	0	0	1.679602581521739	1.3302625751095303	CRYBG3
negative regulation of cell death (GO:0060548)	1/94	0.45647839632867754	0.5105350485254946	0	0	1.6614583333333333	1.3029387269935697	EIF4G1
regulation of kinase activity (GO:0043549)	1/94	0.45647839632867754	0.5105350485254946	0	0	1.6614583333333333	1.3029387269935697	IGF1R
interleukin-1-mediated signaling pathway (GO:0070498)	1/94	0.45647839632867754	0.5105350485254946	0	0	1.6614583333333333	1.3029387269935697	PSMD2
regulation of cell cycle phase transition (GO:1901987)	1/95	0.46000065784761435	0.5132082811097256	0	0	1.6437001329787233	1.2763781239016596	PSMD2
ciliary basal body-plasma membrane docking (GO:0097711)	1/95	0.46000065784761435	0.5132082811097256	0	0	1.6437001329787233	1.2763781239016596	CKAP5
sensory perception of light stimulus (GO:0050953)	1/95	0.46000065784761435	0.5132082811097256	0	0	1.6437001329787233	1.2763781239016596	CRYBG3
regulation of vesicle-mediated transport (GO:0060627)	1/96	0.46350026933166666	0.5166888248287431	0	0	1.6263157894736842	1.2505527825487468	NRP1
calcium ion homeostasis (GO:0055074)	1/97	0.4669773752605793	0.5197129544634925	0	0	1.6092936197916667	1.2254360053463933	STC2
positive regulation of cold-induced thermogenesis (GO:0120162)	1/97	0.4669773752605793	0.5197129544634925	0	0	1.6092936197916667	1.2254360053463933	IGF1R
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	1/98	0.4704321191825455	0.5222756588475608	0	0	1.5926224226804124	1.201002308999126	AP2B1
positive regulation of defense response (GO:0031349)	1/98	0.4704321191825455	0.5222756588475608	0	0	1.5926224226804124	1.201002308999126	APP
RNA splicing (GO:0008380)	1/98	0.4704321191825455	0.5222756588475608	0	0	1.5926224226804124	1.201002308999126	NONO
positive regulation of DNA-binding transcription factor activity (GO:0051091)	2/246	0.47254710251853105	0.5241958070352383	0	0	1.2667484187427391	0.9495772250682171	APP;NFKB2
response to UV (GO:0009411)	1/99	0.4738646439026166	0.5252289451569345	0	0	1.5762914540816326	1.1772273573892775	MAP2K7
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	1/100	0.47727509120180356	0.5277188000280104	0	0	1.560290404040404	1.1540879003160078	AP2B1
cell-matrix adhesion (GO:0007160)	1/100	0.47727509120180356	0.5277188000280104	0	0	1.560290404040404	1.1540879003160078	ITGB1
organic acid transport (GO:0015849)	1/100	0.47727509120180356	0.5277188000280104	0	0	1.560290404040404	1.1540879003160078	SLC1A5
cellular response to chemical stress (GO:0062197)	1/101	0.4806636018778797	0.5306026773976594	0	0	1.544609375	1.1315617150461053	GPX8
epithelial cell differentiation (GO:0030855)	1/101	0.4806636018778797	0.5306026773976594	0	0	1.544609375	1.1315617150461053	BASP1
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	1/102	0.4840303160256479	0.5330212387003086	0	0	1.5292388613861385	1.1096275507822333	RNF217
positive regulation of cellular protein metabolic process (GO:0032270)	1/102	0.4840303160256479	0.5330212387003086	0	0	1.5292388613861385	1.1096275507822333	EIF4G1
intrinsic apoptotic signaling pathway (GO:0097193)	1/102	0.4840303160256479	0.5330212387003086	0	0	1.5292388613861385	1.1096275507822333	CUL4A
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	1/103	0.4873753727528206	0.5358371115148229	0	0	1.5141697303921569	1.0882650783702972	AP2B1
cellular response to organonitrogen compound (GO:0071417)	1/103	0.4873753727528206	0.5358371115148229	0	0	1.5141697303921569	1.0882650783702972	LAMTOR1
cellular metal ion homeostasis (GO:0006875)	1/104	0.4906989102242647	0.538620272723971	0	0	1.4993932038834952	1.0674548420660235	STC2
regulation of insulin secretion (GO:0050796)	1/104	0.4906989102242647	0.538620272723971	0	0	1.4993932038834952	1.0674548420660235	MIDN
nucleotide-excision repair (GO:0006289)	1/105	0.4940010659084868	0.5418076206738242	0	0	1.4849008413461537	1.0471782136409866	CUL4A
