MIMAT0003181	mmu-miR-367-3p
MIMAT0003182	mmu-miR-494-3p
MIMAT0003183	mmu-miR-376c-3p
MIMAT0003184	mmu-miR-487b-3p
MIMAT0003185	mmu-miR-369-5p
MIMAT0003186	mmu-miR-369-3p
MIMAT0003187	mmu-miR-20b-5p
MIMAT0003188	mmu-miR-503-5p
MIMAT0003189	mmu-miR-291b-5p
MIMAT0003190	mmu-miR-291b-3p
MIMAT0003374	mmu-miR-302b-3p
MIMAT0003376	mmu-miR-302c-3p
MIMAT0003377	mmu-miR-302d-3p
MIMAT0003388	mmu-miR-376b-5p
MIMAT0003409	mmu-miR-467a-5p
MIMAT0003450	mmu-miR-488-3p
MIMAT0003453	mmu-miR-497a-5p
MIMAT0003454	mmu-miR-423-3p
MIMAT0003455	mmu-miR-679-5p
MIMAT0003456	mmu-miR-495-3p
MIMAT0003459	mmu-miR-682
MIMAT0003460	mmu-miR-449c-5p
MIMAT0003475	mmu-miR-146b-5p
MIMAT0003476	mmu-miR-669b-5p
MIMAT0003477	mmu-miR-669a-5p
MIMAT0003478	mmu-miR-467b-3p
MIMAT0003479	mmu-miR-669c-5p
MIMAT0003480	mmu-miR-297b-5p
MIMAT0003482	mmu-miR-499-5p
MIMAT0003485	mmu-miR-455-5p
MIMAT0003486	mmu-miR-491-5p
MIMAT0003490	mmu-miR-700-3p
MIMAT0003491	mmu-miR-701-5p
MIMAT0003497	mmu-miR-707
MIMAT0003507	mmu-miR-500-3p
MIMAT0003508	mmu-miR-501-5p
MIMAT0003509	mmu-miR-501-3p
MIMAT0003511	mmu-miR-450b-5p
MIMAT0003512	mmu-miR-450b-3p
MIMAT0003513	mmu-miR-505-3p
MIMAT0003515	mmu-miR-721
MIMAT0003711	mmu-miR-652-3p
MIMAT0003725	mmu-miR-675-5p
MIMAT0003726	mmu-miR-675-3p
MIMAT0003727	mmu-miR-374b-5p
MIMAT0003729	mmu-miR-216b-5p
MIMAT0003731	mmu-miR-671-5p
MIMAT0003732	mmu-miR-668-3p
MIMAT0003733	mmu-miR-665-3p
MIMAT0003734	mmu-miR-667-3p
MIMAT0003735	mmu-miR-672-5p
MIMAT0003736	mmu-miR-670-5p
MIMAT0003737	mmu-miR-666-5p
MIMAT0003738	mmu-miR-496a-3p
MIMAT0003739	mmu-miR-673-5p
MIMAT0003740	mmu-miR-674-5p
MIMAT0003741	mmu-miR-674-3p
MIMAT0003742	mmu-miR-455-3p
MIMAT0003780	mmu-miR-490-3p
MIMAT0003781	mmu-miR-676-5p
MIMAT0003782	mmu-miR-676-3p
MIMAT0003783	mmu-miR-615-3p
MIMAT0003889	mmu-miR-758-3p
MIMAT0003890	mmu-miR-551b-3p
MIMAT0003891	mmu-miR-770-3p
MIMAT0003893	mmu-miR-761
MIMAT0003895	mmu-miR-764-3p
MIMAT0003898	mmu-miR-760-3p
MIMAT0004186	mmu-miR-301b-3p
MIMAT0004187	mmu-miR-744-5p
MIMAT0004188	mmu-miR-802-5p
MIMAT0004217	mmu-miR-465a-3p
MIMAT0004236	mmu-miR-741-3p
MIMAT0004237	mmu-miR-742-3p
MIMAT0004238	mmu-miR-743a-3p
MIMAT0004324	mmu-miR-181d-5p
MIMAT0004536	mmu-miR-151-5p
MIMAT0004537	mmu-miR-154-3p
MIMAT0004544	mmu-miR-193a-5p
MIMAT0004546	mmu-miR-202-5p
MIMAT0004572	mmu-miR-290a-3p
MIMAT0004573	mmu-miR-293-5p
MIMAT0004576	mmu-miR-296-3p
MIMAT0004577	mmu-miR-299a-3p
MIMAT0004580	mmu-miR-34c-3p
MIMAT0004581	mmu-miR-34b-3p
MIMAT0004583	mmu-miR-130b-5p
MIMAT0004640	mmu-miR-325-3p
MIMAT0004642	mmu-miR-330-5p
MIMAT0004644	mmu-miR-337-5p
MIMAT0004647	mmu-miR-338-5p
MIMAT0004649	mmu-miR-339-3p
MIMAT0004651	mmu-miR-340-5p
MIMAT0004656	mmu-miR-345-3p
MIMAT0004661	mmu-miR-28a-3p
MIMAT0004664	mmu-miR-214-5p
MIMAT0004667	mmu-miR-199b-3p
MIMAT0004684	mmu-miR-362-3p
MIMAT0004691	mmu-miR-382-3p
MIMAT0004745	mmu-miR-384-5p
MIMAT0004746	mmu-miR-409-5p
MIMAT0004747	mmu-miR-411-5p
MIMAT0004750	mmu-miR-425-5p
MIMAT0004758	mmu-miR-463-3p
MIMAT0004759	mmu-miR-466a-5p
MIMAT0004760	mmu-miR-470-3p
MIMAT0004781	mmu-miR-532-3p
MIMAT0004782	mmu-miR-483-5p
MIMAT0004789	mmu-miR-450a-2-3p
MIMAT0004821	mmu-miR-671-3p
MIMAT0004822	mmu-miR-770-5p
MIMAT0004823	mmu-miR-666-3p
MIMAT0004825	mmu-miR-423-5p
MIMAT0004827	mmu-miR-297b-3p
MIMAT0004828	mmu-miR-708-5p
MIMAT0004838	mmu-miR-742-5p
MIMAT0004840	mmu-miR-743b-3p
MIMAT0004841	mmu-miR-871-5p
MIMAT0004842	mmu-miR-879-5p
MIMAT0004844	mmu-miR-880-3p
MIMAT0004846	mmu-miR-881-3p
MIMAT0004847	mmu-miR-882
MIMAT0004848	mmu-miR-883a-5p
MIMAT0004849	mmu-miR-883a-3p
MIMAT0004851	mmu-miR-883b-3p
MIMAT0004852	mmu-miR-190b-5p
MIMAT0004853	mmu-miR-874-3p
MIMAT0004854	mmu-miR-876-5p
MIMAT0004855	mmu-miR-876-3p
MIMAT0004856	mmu-miR-105
MIMAT0004857	mmu-miR-147-3p
MIMAT0004858	mmu-miR-18b-5p
MIMAT0004859	mmu-miR-193b-3p
MIMAT0004861	mmu-miR-877-5p
MIMAT0004862	mmu-miR-877-3p
MIMAT0004864	mmu-miR-297a-3p
MIMAT0004865	mmu-miR-297c-5p
MIMAT0004866	mmu-miR-297c-3p
MIMAT0004869	mmu-miR-421-3p
MIMAT0004871	mmu-miR-465b-5p
MIMAT0004872	mmu-miR-465b-3p
MIMAT0004873	mmu-miR-465c-5p
MIMAT0004874	mmu-miR-465c-3p
MIMAT0004875	mmu-miR-466b-5p
MIMAT0004876	mmu-miR-466b-3p
MIMAT0004877	mmu-miR-466c-5p
MIMAT0004878	mmu-miR-466c-3p
MIMAT0004879	mmu-miR-466e-5p
MIMAT0004880	mmu-miR-466e-3p
MIMAT0004884	mmu-miR-466h-5p
MIMAT0004885	mmu-miR-467c-5p
MIMAT0004886	mmu-miR-467d-5p
MIMAT0004887	mmu-miR-467d-3p
MIMAT0004888	mmu-miR-493-3p
MIMAT0004889	mmu-miR-504-5p
MIMAT0004890	mmu-miR-509-5p
MIMAT0004893	mmu-miR-574-5p
MIMAT0004894	mmu-miR-574-3p
MIMAT0004899	mmu-miR-92b-3p
MIMAT0004930	mmu-miR-466d-5p
MIMAT0004931	mmu-miR-466d-3p
MIMAT0004932	mmu-miR-878-5p
MIMAT0004933	mmu-miR-878-3p
MIMAT0004934	mmu-miR-872-5p
MIMAT0004936	mmu-miR-873a-5p
MIMAT0004937	mmu-miR-875-5p
MIMAT0004939	mmu-miR-208b-3p
MIMAT0004942	mmu-miR-598-3p
MIMAT0004943	mmu-miR-653-5p
MIMAT0005291	mmu-miR-582-5p
MIMAT0005293	mmu-miR-467e-5p
MIMAT0005294	mmu-miR-467e-3p
MIMAT0005295	mmu-miR-376c-5p
MIMAT0005447	mmu-miR-449b
MIMAT0005460	mmu-miR-1224-5p
MIMAT0005830	mmu-miR-466l-3p
MIMAT0005833	mmu-miR-669d-5p
MIMAT0005837	mmu-miR-1187
MIMAT0005838	mmu-miR-669j
MIMAT0005839	mmu-miR-669f-3p
MIMAT0005840	mmu-miR-669i
MIMAT0005841	mmu-miR-669h-5p
MIMAT0005843	mmu-miR-1188-5p
MIMAT0005844	mmu-miR-466f
MIMAT0005845	mmu-miR-466k
MIMAT0005848	mmu-miR-466j
MIMAT0005850	mmu-miR-1192
MIMAT0005851	mmu-miR-1193-3p
MIMAT0005853	mmu-miR-669e-5p
MIMAT0005854	mmu-miR-467g
MIMAT0005855	mmu-miR-467h
MIMAT0005858	mmu-miR-1197-3p
MIMAT0005859	mmu-miR-1198-5p
MIMAT0005860	mmu-miR-1199-5p
MIMAT0007876	mmu-miR-1907
MIMAT0009391	mmu-miR-1928
MIMAT0009392	mmu-miR-1929-5p
MIMAT0009393	mmu-miR-1930-5p
MIMAT0009397	mmu-miR-1933-3p
MIMAT0009398	mmu-miR-1934-5p
MIMAT0009405	mmu-miR-1941-5p
MIMAT0009406	mmu-miR-1941-3p
MIMAT0009408	mmu-miR-1943-5p
MIMAT0009413	mmu-miR-1947-5p
MIMAT0009415	mmu-miR-1948-3p
MIMAT0009418	mmu-miR-669l-5p
MIMAT0009419	mmu-miR-669m-3p
MIMAT0009421	mmu-miR-669o-5p
MIMAT0009424	mmu-miR-1953
MIMAT0009426	mmu-miR-1955-5p
MIMAT0009431	mmu-miR-1958
MIMAT0009433	mmu-miR-1960
MIMAT0009434	mmu-miR-1961
MIMAT0009435	mmu-miR-1962
MIMAT0009437	mmu-miR-1964-3p
MIMAT0009441	mmu-miR-1968-5p
MIMAT0009446	mmu-miR-1971
MIMAT0009456	mmu-miR-1839-5p
MIMAT0009458	mmu-miR-1981-5p
MIMAT0009460	mmu-miR-1982-3p
MIMAT0010560	mmu-miR-1249-3p
MIMAT0012772	mmu-miR-599
MIMAT0012774	mmu-miR-664-3p
MIMAT0013803	mmu-miR-2861
MIMAT0014800	mmu-miR-1247-5p
MIMAT0014802	mmu-miR-1264-5p
MIMAT0014803	mmu-miR-1264-3p
MIMAT0014807	mmu-miR-344d-3-5p
MIMAT0014808	mmu-miR-344d-3p
MIMAT0014809	mmu-miR-1298-5p
MIMAT0014811	mmu-miR-3059-5p
MIMAT0014813	mmu-miR-3058-5p
MIMAT0014816	mmu-miR-3099-3p
MIMAT0014817	mmu-miR-3106-5p
MIMAT0014819	mmu-miR-344d-1-5p
MIMAT0014822	mmu-miR-3057-5p
MIMAT0014823	mmu-miR-3057-3p
MIMAT0014824	mmu-miR-1251-5p
MIMAT0014827	mmu-miR-3060-3p
MIMAT0014828	mmu-miR-3061-5p
MIMAT0014829	mmu-miR-3061-3p
MIMAT0014830	mmu-miR-3062-5p
MIMAT0014833	mmu-miR-3063-3p
MIMAT0014834	mmu-miR-3064-5p
MIMAT0014835	mmu-miR-3064-3p
MIMAT0014836	mmu-miR-3065-5p
MIMAT0014838	mmu-miR-3066-5p
MIMAT0014840	mmu-miR-3067-5p
MIMAT0014842	mmu-miR-3068-5p
MIMAT0014846	mmu-miR-3070-5p
MIMAT0014847	mmu-miR-3070-3p
MIMAT0014849	mmu-miR-3070-2-3p
MIMAT0014850	mmu-miR-3071-5p
MIMAT0014853	mmu-miR-3072-3p
MIMAT0014854	mmu-miR-3073a-5p
MIMAT0014855	mmu-miR-3073a-3p
MIMAT0014856	mmu-miR-3074-5p
MIMAT0014857	mmu-miR-3074-1-3p
MIMAT0014858	mmu-miR-3075-5p
MIMAT0014860	mmu-miR-3076-5p
MIMAT0014861	mmu-miR-3076-3p
MIMAT0014863	mmu-miR-3077-3p
MIMAT0014864	mmu-miR-3078-5p
MIMAT0014866	mmu-miR-3079-5p
MIMAT0014867	mmu-miR-3079-3p
MIMAT0014868	mmu-miR-3080-5p
MIMAT0014869	mmu-miR-3080-3p
MIMAT0014871	mmu-miR-3081-3p
MIMAT0014872	mmu-miR-3082-5p
MIMAT0014873	mmu-miR-3082-3p
MIMAT0014874	mmu-miR-3083-5p
MIMAT0014877	mmu-miR-3084-3p
MIMAT0014878	mmu-miR-3085-5p
