C1_H1	C1_H2	C1_H3	C1_N1	C1_N2	C1_N3	C2_H1	C2_H2	C2_H3	C2_N1	C2_N2	C2_N3	C3_H1	C3_H2	C3_H3	C3_N1	C3_N2	C3_N3
EMBP1	2.46109335987384	3.50204489479399	3.79499629657415	2.80282507983973	3.12128425190946	3.82833533308928	3.70380164937584	3.67827474111634	4.23947252195558	3.45724364881422	4.79874175260782	4.4983141780669	3.4005204680114	3.32758110814402	2.43904477932111	3.13358258706155	3.37116615762434	4.14883934942437
LOC388692	3.42580761159897	2.53776247516609	3.05937115669581	4.05999511382059	3.60455952427526	3.0556036832033	3.24221440428058	2.73982553634813	2.3114191875952	3.22685065564019	2.26664547039632	3.28161635159824	3.55073522375386	3.45671236221346	3.50471339755211	3.04273095400217	2.56004621720146	3.45503905902353
RNVU1-15	5.26684107255332	5.27444847434913	5.13058746314207	5.64517830424796	5.57239059512694	5.79022821574586	4.88387408673659	5.06587140065601	4.55634196230368	5.56119481732757	5.83146583782677	5.12014605912672	6.05584540746883	4.88911358206314	5.53280043054183	6.17568183360069	5.59506987561566	5.27333210777616
LOC645166	6.26398447664007	6.48337400100146	6.60721461111846	6.04314993194521	6.11490098627463	5.92361260954269	7.1723831532448	7.09712962119798	6.98417328802739	6.60560561689026	6.59252426345821	6.40971396034284	6.67892173067832	6.74208097514283	6.71899905902794	6.11925634081739	6.17372630382118	6.14291776334172
RNVU1-14	6.16891800620075	5.64285106336012	6.35368821365289	6.64683434973228	6.45682003480534	6.87040490419213	4.81173184586708	4.53972760557419	5.27022532148683	5.89524278392226	5.63446345484084	5.424353754936	5.72404923764207	5.11840698239356	6.09971546867032	5.8948722542017	6.2754488110571	6.02843425578327
NUDT4P1	9.00551029753648	8.90575181950433	9.09980520324844	9.51051497574946	9.40295265161957	9.56614124796776	8.29410331972401	8.27412121514244	8.2879996856272	9.51344476454036	9.26804002716791	9.22139390339163	7.86900796296369	7.90987753045647	7.84187507740165	9.11676399860039	9.24064608362086	9.31962791290847
RNVU1-18	10.3229122604699	10.3086869457695	10.0028929570252	10.3739727066234	10.5913596058578	10.7814974073363	9.91805421181158	9.87357845739278	10.1911237408165	10.3299303959983	10.1505473569476	10.0927435654882	10.6867413937047	10.5308310434378	10.3441507372265	10.5268893427097	10.4242724825888	10.2628221412598
CH17-408M7.1	3.53947395221392	3.59641866040697	3.58970057240045	3.89829803721294	4.06782364556827	3.89117950013646	3.91340276967213	3.75987794162891	3.71993827325735	4.12400866658704	4.83956435776397	3.65789356330225	3.16542995124505	3.61997982493438	3.02139294073471	2.61565510244707	3.49023422847617	3.32512009981123
HYDIN2	1.66517139265801	1.83956361301613	1.97252109675379	1.67331973133124	1.41185233811888	2.54804621178695	1.69406280960866	1.98184085571746	1.17118899905771	2.98444955345559	2.65032472255147	2.41319715061528	1.16636603077349	1.13986892821152	1.46413144886191	1.35176493267309	1.53631428663562	1.3173988601873
LOC100132057	3.53989699308008	3.57825228395791	2.96148335353747	3.79864659513327	3.32424580843892	3.11166266839906	3.46470780485493	3.21959593701329	3.35957120979473	3.27132249322711	2.89618618849139	2.49355757165753	2.97023773819908	2.75055048937291	2.63215734552231	2.93860830542035	2.7213095204085	2.98086985028106
RNVU1-3	2.13965937096179	1.83848592938006	1.76836431554531	1.93621911704446	2.00302751283429	2.02770316324673	2.35199315039837	2.04851231954095	1.85832998592307	2.04656665992112	2.11457782480234	2.36303374114761	2.01660877817044	1.90124927609352	2.33520731498396	2.24067249937236	1.88089836863649	2.0735336216707
MIR4257	3.19790442227687	2.91260553593291	3.79877671169715	2.63205372057316	3.16151187083471	3.65583647763848	2.95530727644266	3.42929167710449	3.32922657325175	3.52930975332838	2.6480765473098	2.73161728017788	3.4172419792492	2.99437912229492	3.17930555699236	2.67952437148629	2.41488791978289	3.13628516282807
GBAT2	1.89344825024826	3.53084554736752	2.44517298014432	2.88040298918376	3.30799058717023	2.67948363271346	2.46893599105209	2.13055780467769	3.09847260687029	3.04522017289711	2.56535843375787	2.95056334400003	2.94833122889587	2.47094863989628	3.11501113690583	2.66273385002988	2.72592190568382	2.6103626697848
MIR554	0.765064835908952	1.13576799178007	0.8064126983299	1.72415484183957	0.841016834315684	1.16881368556306	1.03656149167036	0.795696224871216	0.903649300700699	1.7660988894701	0.97835039896113	1.69489957413873	1.16601540129478	1.3925771744033	1.29494699891314	1.08597590088935	1.39701677234303	0.467534554820345
LOC343052	3.94195225944358	4.06082980859486	4.05919100501679	3.92620550297157	3.66012255414309	3.50380314580403	3.9019720847292	4.2839180945899	4.02343359198715	3.64499401863797	3.73686909637675	3.81575544191936	4.07944063033722	3.17873167517745	4.01469461008432	3.34968336542672	3.25758228051201	4.05422221956784
UBE2Q1-AS1	0.983647070108066	1.28245787367094	1.07845353753849	1.56465538052075	1.62819892914011	1.57472579754947	1.81715781405358	1.44097192541906	1.01029109717028	1.29338213700146	1.62400128234615	1.07349231663024	1.33912487641257	1.29060610458796	1.73247828942992	1.01191230465518	0.959554525203133	1.33475624741599
MIR4258	3.19136307525748	2.83708499734926	2.98819866675406	2.45841381846369	2.25164619252395	2.48675707683804	3.11918071400545	3.55690808542661	3.68362671492937	2.8911960005031	2.6041625255659	2.96020600882619	3.01548868957378	3.76577195586739	2.69238439912274	3.29977232169497	2.94209228533683	2.45120111761646
MIR92B	2.21111339657546	2.0938207454248	1.8236484028875	1.06778765750764	2.59697846846124	1.12416269563727	1.6171771234996	2.38604284287291	2.94438511956727	1.65569037064557	1.88740672565072	2.47194742776281	2.56597986186234	1.52369204437739	1.67050387902318	2.26048784925907	2.17162964216087	1.48665773530188
POU5F1P4	2.6130049994373	3.41229870734661	2.71591910416365	2.64739547204894	2.29055620969658	2.60212115503941	2.51251640278284	3.2494591405142	2.7726222369396	2.84683825113333	2.70160129124918	2.30350719119351	2.88819075324147	2.58051882492813	2.93723895973132	2.45929464410592	2.98677159594862	3.39683051073519
MSTO2P	4.25299495513256	4.15882226568684	4.61264880547485	4.15708163011877	4.70029417206135	4.51152004077731	3.76415449243922	4.27090140015893	4.45773826953823	4.16381438316553	3.83205276706398	4.37219759978409	4.0274013735895	3.80121840372597	3.71994167529844	5.48867673518621	5.38725414110671	4.99772700755192
CYCSP52	2.6258091332561	2.47765245215457	2.0714909441433	2.83776138900726	2.69337233899489	1.93405785877238	2.67160167685159	2.21799241481951	2.21073537490729	2.34746939622435	2.07097701431874	2.45847524051095	2.90830993898415	2.85752667534912	2.5978068783465	3.36310407766275	3.05200953888744	2.52291207096828
LINC01133	2.55406198661352	2.81097431878882	2.69733094583396	2.46947202542763	3.05115060923729	3.30928769730735	2.09520036222053	2.53791474138524	2.999542688596	2.47588819863639	1.64293657062738	2.31812639604917	2.97845083113974	2.46409128128161	2.11811739170487	2.0085716510175	3.22853008745103	2.87058047815707
