miRNA ID,Accession,SYMBOL,TargetID,Experiment,Literature,Tissue
hsa-mir-635,MIMAT0003305,ZKSCAN3,80317,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,HM13,81502,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,FAM83D,81610,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,KREMEN1,83999,HITS-CLIP,28735896,Unspecified
hsa-mir-635,MIMAT0003305,AKT1S1,84335,PAR-CLIP,26701625,Unspecified
hsa-mir-635,MIMAT0003305,MIDN,90007,HITS-CLIP,19536157,Unspecified
hsa-mir-635,MIMAT0003305,MTFMT,123263,PAR-CLIP,23592263|23446348|21572407|20371350,Unspecified
hsa-mir-635,MIMAT0003305,EMC10,284361,PAR-CLIP,26701625,Unspecified
hsa-mir-635,MIMAT0003305,LINC00632,286411,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,DRAXIN,374946,HITS-CLIP,23824327,Unspecified
hsa-mir-635,MIMAT0003305,MTRNR2L7,100288485,PAR-CLIP,22012620|21572407|20371350,Unspecified
hsa-mir-635,MIMAT0003305,MTRNR2L3,100462983,PAR-CLIP,22012620|20371350,Unspecified
hsa-mir-635,MIMAT0003305,MTRNR2L10,100463488,PAR-CLIP,22012620|20371350,Unspecified
hsa-mir-635,MIMAT0003305,MTRNR2L11,100463489,PAR-CLIP,22012620|21572407|20371350,Unspecified
hsa-mir-635,MIMAT0003305,C15orf38-AP3S2,100526783,PAR-CLIP,20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,AAMP,14,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,ACACA,31,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,ACOX1,51,HITS-CLIP,19536157,Unspecified
hsa-mir-24-3p,MIMAT0000080,ACTL6A,86,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,ACVR1B,91,Luciferase reporter assay//PAR-CLIP//Reporter assay//Western blot,17906079|23592263|20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,ADD1,118,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,ADD3,120,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,AK4,205,Sequencing,20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,ALDOA,226,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,ALOX5AP,241,PAR-CLIP,27292025,Unspecified
hsa-mir-24-3p,MIMAT0000080,AMPD2,271,CLASH,23622248,Unspecified
hsa-mir-24-3p,MIMAT0000080,ANPEP,290,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,APAF1,317,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,XIAP,331,HITS-CLIP//qRT-PCR//Reporter assay//Western blot,22733138|23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,ARL1,400,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,ATF3,467,PAR-CLIP,22012620,Unspecified
hsa-mir-24-3p,MIMAT0000080,ATP5B,506,CLASH,23622248,Unspecified
hsa-mir-24-3p,MIMAT0000080,ATP6V1A,523,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,CCND1,595,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,23174883,Unspecified
hsa-mir-24-3p,MIMAT0000080,BCL2L2,599,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,BCL7A,605,CLASH,23622248,Unspecified
hsa-mir-24-3p,MIMAT0000080,BMP7,655,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,POLR3D,661,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,BRCA1,672,Luciferase reporter assay//Microarray//qRT-PCR//Reporter assay//Western blot,19748357|20018894,Unspecified
hsa-mir-24-3p,MIMAT0000080,CASP10,843,HITS-CLIP,19536157,Unspecified
hsa-mir-24-3p,MIMAT0000080,CCNA2,890,Luciferase reporter assay//Microarray//qRT-PCR//Reporter assay//Western blot,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,CCNB1,891,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,CCNG1,900,CLASH,23622248,Unspecified
hsa-mir-24-3p,MIMAT0000080,CD3D,915,HITS-CLIP//PAR-CLIP,21572407|23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,CD34,947,qRT-PCR,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,CDK1,983,Microarray//qRT-PCR//Reporter assay//Western blot,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,CDH7,1005,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,CDK4,1019,Luciferase reporter assay//Microarray//qRT-PCR//Reporter assay//Western blot,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,CDKN1B,1027,Flow//Luciferase reporter assay//Microarray//qRT-PCR//Sequencing//Western blot,17627278|20816961|20371350|19748357|23553486|26847530|26044523,Unspecified
hsa-mir-24-3p,MIMAT0000080,CDKN2A,1029,qRT-PCR//Reporter assay//Western blot,18365017,Unspecified
hsa-mir-24-3p,MIMAT0000080,CHEK1,1111,qRT-PCR//Reporter assay//Western blot,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,CIRBP,1153,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,COL8A1,1295,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,COX6B1,1340,HITS-CLIP,23313552,Unspecified
hsa-mir-24-3p,MIMAT0000080,CPE,1363,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,CPT1A,1374,HITS-CLIP,19536157,Unspecified
hsa-mir-24-3p,MIMAT0000080,CRX,1406,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,CRY2,1408,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,MAPK14,1432,Luciferase reporter assay//Reporter assay,15131085,Unspecified
hsa-mir-24-3p,MIMAT0000080,CSK,1445,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,NCAN,1463,Luciferase reporter assay//qRT-PCR//Western blot,27349868,Unspecified
hsa-mir-24-3p,MIMAT0000080,CSTF1,1477,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,CSTF3,1479,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,CYP11B2,1585,Luciferase reporter assay//qRT-PCR,23836801,Unspecified
hsa-mir-24-3p,MIMAT0000080,CYP51A1,1595,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,DARS,1615,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,DDX5,1655,CLASH,23622248,Unspecified
hsa-mir-24-3p,MIMAT0000080,DHCR24,1718,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,DHFR,1719,Luciferase reporter assay//Microarray//Western blot,17686970|19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,DNA2,1763,HITS-CLIP,23824327|23313552,Unspecified
hsa-mir-24-3p,MIMAT0000080,DSC2,1824,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,DUSP7,1849,PAR-CLIP,23592263,Unspecified
hsa-mir-24-3p,MIMAT0000080,DVL3,1857,PAR-CLIP,23592263|21572407,Unspecified
hsa-mir-24-3p,MIMAT0000080,E2F1,1869,qRT-PCR,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,E2F2,1870,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,E2F3,1871,Microarray//qRT-PCR,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,EEF1A1,1915,CLASH,23622248,Unspecified
hsa-mir-24-3p,MIMAT0000080,EIF2S3,1968,HITS-CLIP//Luciferase reporter assay//Microarray,19748357|24234653|23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,EIF5,1983,PAR-CLIP,23446348,Unspecified
hsa-mir-24-3p,MIMAT0000080,EMP1,2012,PAR-CLIP,23592263,Unspecified
hsa-mir-24-3p,MIMAT0000080,EMP2,2013,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,EPB41,2035,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,CLN8,2055,PAR-CLIP,23592263|20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,ERBB3,2065,HITS-CLIP//Microarray,19748357|23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,EREG,2069,PAR-CLIP,26701625,Unspecified
hsa-mir-24-3p,MIMAT0000080,FAH,2184,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,FANCF,2188,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,FEN1,2237,Luciferase reporter assay//Microarray//qRT-PCR//Reporter assay//Western blot,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,GPC4,2239,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,FGF11,2256,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,27538493,Unspecified
hsa-mir-24-3p,MIMAT0000080,FGFR3,2261,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,23174883,Unspecified
hsa-mir-24-3p,MIMAT0000080,FKBP1B,2281,Sequencing,20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,FNTB,2342,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,FOSL2,2355,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,FPR1,2357,HITS-CLIP,27418678,Unspecified
hsa-mir-24-3p,MIMAT0000080,GABRB3,2562,PAR-CLIP,22012620,Unspecified
hsa-mir-24-3p,MIMAT0000080,GATA3,2625,Luciferase reporter assay,26834155,Unspecified
hsa-mir-24-3p,MIMAT0000080,GATA6,2627,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,NIPSNAP2,2631,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,GGCX,2677,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,GCLM,2730,CLASH,23622248,Unspecified
hsa-mir-24-3p,MIMAT0000080,GLUL,2752,Sequencing,20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,GMFB,2764,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,GRK4,2868,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,GRINA,2907,PAR-CLIP,23592263,Unspecified
hsa-mir-24-3p,MIMAT0000080,GTF2E1,2960,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,GTF3C2,2976,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,H2AFX,3014,GFP reporter assay//Immunoprecipitaion//LacZ reporter assay//Luciferase reporter assay//Microarray//PAR-CLIP//qRT-PCR//Reporter assay//Western blot,19377482|19748357|24854275|28386126|26701625,Unspecified
hsa-mir-24-3p,MIMAT0000080,HBQ1,3049,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,HDAC1,3065,Sequencing,20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,HEXA,3073,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,UBE2K,3093,PAR-CLIP,23446348|20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,HINT1,3094,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,HMGB2,3148,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,HMOX1,3162,Luciferase reporter assay//Western blot,24854275,Unspecified
hsa-mir-24-3p,MIMAT0000080,HNF4A,3172,ELISA//Flow//Immunohistochemistry//Immunoprecipitaion//In situ hybridization//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,20018894|22153071,Unspecified
hsa-mir-24-3p,MIMAT0000080,HNRNPA1,3178,PAR-CLIP,23592263|24398324|20371350|26701625|27292025,Unspecified
hsa-mir-24-3p,MIMAT0000080,AGFG1,3267,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,HSF2,3298,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,NDST1,3340,Luciferase reporter assay//qRT-PCR//Western blot,23884416,Unspecified
hsa-mir-24-3p,MIMAT0000080,HUS1,3364,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,IDS,3423,HITS-CLIP,24906430,Unspecified
hsa-mir-24-3p,MIMAT0000080,IFNG,3458,Luciferase reporter assay//qRT-PCR//Western blot,24704866,Unspecified
hsa-mir-24-3p,MIMAT0000080,IFNR,3466,Luciferase reporter assay//qRT-PCR,25030422,Unspecified
hsa-mir-24-3p,MIMAT0000080,IGF1,3479,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,IGF2R,3482,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,IL1B,3553,Microarray//qRT-PCR,28057018,Unspecified
hsa-mir-24-3p,MIMAT0000080,IL4,3565,Luciferase reporter assay,26834155,Unspecified
hsa-mir-24-3p,MIMAT0000080,IL18,3606,Microarray//qRT-PCR,28057018,Unspecified
hsa-mir-24-3p,MIMAT0000080,ING1,3621,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,INSIG1,3638,Immunofluorescence//PAR-CLIP//qRT-PCR//Western blot,24677249|23592263|24398324|20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,ITGB3,3690,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,JARID2,3720,Sequencing,20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,KCNJ5,3762,HITS-CLIP,27418678,Unspecified
hsa-mir-24-3p,MIMAT0000080,KCNJ14,3770,Sequencing,20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,KCNK2,3776,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,LBR,3930,Sequencing,20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,LDHA,3939,HITS-CLIP//Luciferase reporter assay//qRT-PCR,23064179|23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,LDHB,3945,Luciferase reporter assay//qRT-PCR,23064179,Unspecified
hsa-mir-24-3p,MIMAT0000080,LIMS1,3987,HITS-CLIP,24906430,Unspecified
hsa-mir-24-3p,MIMAT0000080,LLGL1,3996,HITS-CLIP//Microarray,19748357|23824327|23313552,Unspecified
hsa-mir-24-3p,MIMAT0000080,MCM4,4173,Microarray//qRT-PCR,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,MDM4,4194,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,MEN1,4221,Luciferase reporter assay//Northern blot//PAR-CLIP//qRT-PCR//Western blot,22761894|23592263|26701625,Unspecified
hsa-mir-24-3p,MIMAT0000080,MAP3K9,4293,Luciferase reporter assay//Microarray,24234653,Unspecified
hsa-mir-24-3p,MIMAT0000080,MMP14,4323,Luciferase reporter assay,24990232,Unspecified
hsa-mir-24-3p,MIMAT0000080,ALDH6A1,4329,HITS-CLIP,23313552,Unspecified
hsa-mir-24-3p,MIMAT0000080,MT1E,4493,PAR-CLIP,23592263,Unspecified
hsa-mir-24-3p,MIMAT0000080,MT1M,4499,Luciferase reporter assay//qRT-PCR//Western blot,27650047,Unspecified
hsa-mir-24-3p,MIMAT0000080,MXI1,4601,Luciferase reporter assay//qRT-PCR//Western blot,23254855,Unspecified
hsa-mir-24-3p,MIMAT0000080,MYC,4609,Immunohistochemistry//In situ hybridization//Luciferase reporter assay//Microarray//qRT-PCR//Reporter assay//Western blot,19748357|26159387,Unspecified
hsa-mir-24-3p,MIMAT0000080,MYH9,4627,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,NARS,4677,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,NASP,4678,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,NDUFA7,4701,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,NFE2L1,4779,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,NFKBIA,4792,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,NFX1,4799,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,NHS,4810,PAR-CLIP,24398324|20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,NOS3,4846,Immunocytochemistry//Luciferase reporter assay//qRT-PCR//Western blot,23774796|25920448,Unspecified
hsa-mir-24-3p,MIMAT0000080,NOTCH1,4851,Reporter assay,15131085,Unspecified
hsa-mir-24-3p,MIMAT0000080,SLC11A2,4891,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,OLR1,4973,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PA2G4,5036,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,FURIN,5045,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,20945401|22260784,Unspecified
hsa-mir-24-3p,MIMAT0000080,PAFAH1B2,5049,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PCK2,5106,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,PCNA,5111,qRT-PCR//Reporter assay//Western blot,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,PDE7A,5150,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PDE6B,5158,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PDGFRB,5159,Immunohistochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot,26159387,Unspecified
hsa-mir-24-3p,MIMAT0000080,PDPK1,5170,HITS-CLIP//Microarray,19748357|23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PIGR,5284,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PLA2G4A,5321,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PLAGL2,5326,Microarray//PAR-CLIP,19748357|20371350|26701625,Unspecified
hsa-mir-24-3p,MIMAT0000080,POLD1,5424,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,POLR2D,5433,HITS-CLIP//Microarray,19748357|23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PPP3R1,5534,Sequencing,20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,PRIM1,5557,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,PRKCA,5578,HITS-CLIP,23313552,Unspecified
hsa-mir-24-3p,MIMAT0000080,PRKCH,5583,Luciferase reporter assay//qRT-PCR//Western blot,27351203,Unspecified
hsa-mir-24-3p,MIMAT0000080,MAPK7,5598,Luciferase reporter assay,27103442,Unspecified
hsa-mir-24-3p,MIMAT0000080,MAP2K7,5609,PAR-CLIP,26701625,Unspecified
hsa-mir-24-3p,MIMAT0000080,DNAJC3,5611,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,THAP12,5612,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,PRSS8,5652,PAR-CLIP,26701625,Unspecified
hsa-mir-24-3p,MIMAT0000080,PSAP,5660,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,24966325,Unspecified
hsa-mir-24-3p,MIMAT0000080,PSMD1,5707,HITS-CLIP//Microarray,19748357|23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PTAFR,5724,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PTGFRN,5738,Sequencing,20371350,Unspecified
hsa-mir-24-3p,MIMAT0000080,PTGIS,5740,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,PTPN9,5780,Luciferase reporter assay,23418360,Unspecified
hsa-mir-24-3p,MIMAT0000080,PTPRF,5792,Luciferase reporter assay,23418360,Unspecified
hsa-mir-24-3p,MIMAT0000080,PEX2,5828,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,RAB5C,5878,PAR-CLIP,27292025,Unspecified
hsa-mir-24-3p,MIMAT0000080,RALA,5898,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,RANBP1,5902,CLASH,23622248,Unspecified
hsa-mir-24-3p,MIMAT0000080,RAP2B,5912,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,RBBP4,5928,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,RBL1,5933,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,RBM3,5935,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,RBMS2,5939,HITS-CLIP,23824327|23313552,Unspecified
hsa-mir-24-3p,MIMAT0000080,RNF2,6045,PAR-CLIP//Sequencing,20371350|21572407,Unspecified
hsa-mir-24-3p,MIMAT0000080,ABCE1,6059,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,RPL37A,6168,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,RPS7,6201,CLASH,23622248,Unspecified
hsa-mir-24-3p,MIMAT0000080,RPS16,6217,CLASH,23622248,Unspecified
hsa-mir-24-3p,MIMAT0000080,RRAS,6237,PAR-CLIP,26701625,Unspecified
hsa-mir-24-3p,MIMAT0000080,RRM2,6241,Microarray//qRT-PCR,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,S100A8,6279,Luciferase reporter assay//Western blot,22139384,Unspecified
hsa-mir-24-3p,MIMAT0000080,S100P,6286,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,SCML1,6322,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,CCL2,6347,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,CCL3,6348,Microarray//qRT-PCR,28057018,Unspecified
hsa-mir-24-3p,MIMAT0000080,CCL4,6351,Microarray//qRT-PCR,28057018,Unspecified
hsa-mir-24-3p,MIMAT0000080,CCL16,6360,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,SELPLG,6404,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,STIL,6491,HITS-CLIP,23824327,Unspecified
hsa-mir-24-3p,MIMAT0000080,SLC1A2,6506,HITS-CLIP,23824327|23313552,Unspecified
hsa-mir-24-3p,MIMAT0000080,SLC1A5,6510,HITS-CLIP,23824327|23313552,Unspecified
hsa-mir-24-3p,MIMAT0000080,SLC2A3,6515,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,SLC6A4,6532,Luciferase reporter assay//qRT-PCR//Western blot,26631964,Unspecified
hsa-mir-24-3p,MIMAT0000080,SLC7A1,6541,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,SLC7A2,6542,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,SLIT3,6586,PAR-CLIP,26701625|27292025,Unspecified
hsa-mir-24-3p,MIMAT0000080,SUMO3,6612,Microarray,19748357,Unspecified
hsa-mir-24-3p,MIMAT0000080,FSCN1,6624,Immunohistochemistry//Luciferase reporter assay//PAR-CLIP//qRT-PCR//Western blot,23592263|26503504,Unspecified
hsa-mir-24-3p,MIMAT0000080,SNRPB2,6629,Microarray,19748357,Unspecified
