PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC1000010408.hg.1	NR_026777	ZNF37BP	zinc finger protein 37B, pseudogene	-0.439135340641648	3.11853499511229	-1.78447600619783	0.0821807899339175	0.597890277013355	-4.6269571139769
TC1000010413.hg.1	NR_120656	LINC01518	long intergenic non-protein coding RNA 1518	0.153483628594339	3.54317126017784	1.05524840907929	0.297849487896734	0.824491155716844	-5.58321847448078
TC1000010425.hg.1	NR_126352	LINC01264	long intergenic non-protein coding RNA 1264	-0.183935230066209	2.38307748399597	-1.49873912088688	0.142047799370432	0.693565511212138	-5.05388020087075
TC1000010458.hg.1	NR_002726	HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	-0.232637757555669	6.01718717973954	-1.6455494699242	0.107948491489363	0.646588031984509	-4.84254187517349
TC1000010477.hg.1	NR_033842	TMEM72-AS1	TMEM72 antisense RNA 1	-0.0359635295684351	4.78766291250134	-0.235613343854528	0.814974043449258	0.976961928964638	-6.09213070228214
TC1000010496.hg.1	NR_120674	LOC102724323	uncharacterized LOC102724323	-0.0446293786935037	2.38683106788128	-0.249594814345268	0.804219642414998	0.974707457509403	-6.08882152198114
TC1000010523.hg.1	NR_103827	ANTXRLP1	anthrax toxin receptor-like pseudogene 1	-0.0878162916662406	1.0410330860069	-0.729192147184542	0.470270630647431	0.898610146916054	-5.86129823691963
TC1000010535.hg.1	NR_027632	FAM35BP	family with sequence similarity 35, member A pseudogene	-0.153112509769857	3.1774559136974	-1.07143277826213	0.290605554498119	0.820120488961843	-5.56690181462894
TC1000010536.hg.1	NR_111968	GLUD1P7	glutamate dehydrogenase 1 pseudogene 7	-0.0390591097271136	6.00317553045763	-0.263902147576813	0.793254326391006	0.973315943544499	-6.08523846917413
TC1000010556.hg.1	NR_033407	CTSLP2	cathepsin L pseudogene 2	-0.251794457743681	2.42148800052424	-1.51764161910275	0.137224980752411	0.687661355672094	-5.02764138368584
TC1000010566.hg.1	NR_029396	CTGLF12P	centaurin, gamma-like family, member 12 pseudogene	0.0215299136781661	5.50278810706713	0.11781251723455	0.906825024736562	0.988689475498763	-6.11245287660021
TC1000010588.hg.1	NR_036182	MIR4294	microRNA 4294	0.0562731294863106	4.35544858369634	0.403738738782677	0.688625210694036	0.953622458453435	-6.03976787981483
TC1000010594.hg.1	NR_108038	C10orf71-AS1	C10orf71 antisense RNA 1	-0.0590259450243145	3.45122273017494	-0.375170745485794	0.709580049629765	0.95790563573695	-6.05059510519514
TC1000010615.hg.1	NR_038275	FAM21EP	family with sequence similarity 21, member A pseudogene	-0.20396145618797	3.57542668873841	-0.88072526660109	0.383898729008085	0.868757734070902	-5.74417916158082
TC1000010646.hg.1	NR_120678	LOC102724719	uncharacterized LOC102724719	0.209480086585232	0.865551309671075	2.62515709935697	0.0123327285192745	0.290855756995876	-3.0330432705564
TC1000010654.hg.1	NR_038277	PRKG1-AS1	PRKG1 antisense RNA 1	0.430332547077793	2.4696080704275	1.42624934287505	0.161806951088756	0.716960498566869	-5.15179291974726
TC1000010657.hg.1	NR_120641	LINC01468	long intergenic non-protein coding RNA 1468	0.0125560361406265	2.19409733914987	0.104218238612719	0.917533934715942	0.990133991842143	-6.11392707119989
TC1000010677.hg.1	NR_031642	MIR548F1	microRNA 548f-1	-0.0536185207920927	0.82405118104519	-0.529253471502748	0.599649902101302	0.935034802719178	-5.98289451021865
TC1000010695.hg.1	NR_037490	MIR3924	microRNA 3924	0.0150227787398618	0.817974680645387	0.144345924655584	0.885975742356071	0.98671812631596	-6.10905596818467
TC1000010715.hg.1	NR_131782	CCEPR	cervical carcimona expressed PCNA regulatory lncRNA	0.0412354971429798	1.23111186426028	0.36149487198483	0.719694016918497	0.960573883224762	-6.05549927009548
TC1000010726.hg.1	NR_024340	LINC01553	long intergenic non-protein coding RNA 1553	-0.0546309717691968	1.67700733019101	-0.434701157440124	0.666191632968666	0.949102016789608	-6.02714450990288
TC1000010761.hg.1	NR_104162	LOC283045	uncharacterized LOC283045	0.0142821021892623	1.18485643541614	0.11865052174503	0.906165440212027	0.988686217002066	-6.11235609868701
TC1000010781.hg.1	NR_031566	MIR1296	microRNA 1296	-0.256177902324797	2.52609906114961	-1.73260990279867	0.0911215828873926	0.617679500572175	-4.70917955906585
