PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC1400010618.hg.1	NR_039985	FLJ22447	uncharacterized LOC400221	-0.490358515676313	2.07898884737471	-1.30793013236421	0.198606379396249	0.648933003069322	-5.61336369559878
TC1400010650.hg.1	NR_104113	LINC00618	long intergenic non-protein coding RNA 618	-0.116116820451938	4.53514769103818	-0.732587279580505	0.468220354767825	0.839710560906968	-6.18386592847773
TC1400010653.hg.1	NR_003080	SNORD112	small nucleolar RNA, C/D box 112	0.871844824183492	3.62195304584001	3.11770105568221	0.00342995559015224	0.0759114991794023	-2.1238850333111
TC1400010654.hg.1	NR_003193	SNORD114-1	small nucleolar RNA, C/D box 114-1	0.62254457612491	5.6930396748958	3.72338324100983	0.000624094364041573	0.0228746845002341	-0.545308725907067
TC1400010656.hg.1	NR_003232	SNORD113-4	small nucleolar RNA, C/D box 113-4	0.457846471920226	2.54526263768706	1.54900155405183	0.129514076056871	0.555223877230538	-5.28652927559551
TC1400010658.hg.1	NR_003233	SNORD113-5	small nucleolar RNA, C/D box 113-5	0.350206781631534	1.2873167433311	3.13456251525845	0.00327689286150101	0.0735564633666005	-2.08202132432975
TC1400010660.hg.1	NR_003234	SNORD113-6	small nucleolar RNA, C/D box 113-6	-0.203850297786831	1.51649862608334	-1.22813340645308	0.226807477342018	0.677833138262105	-5.71048392873574
TC1400010662.hg.1	NR_003235	SNORD113-7	small nucleolar RNA, C/D box 113-7	0.235117229943558	1.9320092440148	1.70037096256223	0.0970783357950671	0.495840771494496	-5.05653715853217
TC1400010663.hg.1	NR_003236	SNORD113-8	small nucleolar RNA, C/D box 113-8	0.1125999384369	2.19293582498134	0.797730436652361	0.429890460527184	0.820345575482779	-6.13474703234589
TC1400010664.hg.1	NR_003237	SNORD113-9	small nucleolar RNA, C/D box 113-9	0.172514661066159	1.61190401970617	1.0224521626949	0.312910511934636	0.74793248271807	-5.93453421638468
TC1400010667.hg.1	NR_003219	SNORD114-26	small nucleolar RNA, C/D box 114-26	0.42473555147294	5.21264247532056	2.15571861220536	0.0373786822850862	0.319462718027549	-4.25766316194441
TC1400010668.hg.1	NR_003205	SNORD114-12	small nucleolar RNA, C/D box 114-12	0.148579501323857	4.71672690094522	0.691718249770349	0.493239869025752	0.850821181549016	-6.2126061445679
TC1400010669.hg.1	NR_003206	SNORD114-13	small nucleolar RNA, C/D box 114-13	0.74995292559237	1.53300972905109	4.12186468602326	0.000191570829080535	0.0095130618041442	0.562909394266994
TC1400010670.hg.1	NR_003207	SNORD114-14	small nucleolar RNA, C/D box 114-14	0.439009761828165	7.39777802915477	1.72194927478617	0.0930566344274999	0.487854220979272	-5.02224677275553
TC1400010671.hg.1	NR_003208	SNORD114-15	small nucleolar RNA, C/D box 114-15	0.5050811560835	2.2625718536168	3.32347512090446	0.00195022828731304	0.051481054741866	-1.60425473860052
TC1400010672.hg.1	NR_003209	SNORD114-16	small nucleolar RNA, C/D box 114-16	0.672761610992842	2.8921992865646	3.63137040250495	0.000814798749220468	0.0277898850689759	-0.79416362732112
TC1400010673.hg.1	NR_003210	SNORD114-17	small nucleolar RNA, C/D box 114-17	1.11383329402823	4.61084535709538	4.52860184561434	5.53571685481816e-05	0.00373748435533696	1.73570739475116
TC1400010674.hg.1	NR_003211	SNORD114-18	small nucleolar RNA, C/D box 114-18	0.132671135628958	1.07106710579471	1.03706904319666	0.306134739624941	0.743237634959609	-5.91988258988945
TC1400010675.hg.1	NR_003212	SNORD114-19	small nucleolar RNA, C/D box 114-19	0.372365433912959	1.93677576086296	2.31570910892768	0.025960349242918	0.264376736326237	-3.94165978414195
TC1400010679.hg.1	NR_003213	SNORD114-20	small nucleolar RNA, C/D box 114-20	0.591272681766472	4.71289277550774	2.34979154131069	0.0239764836970913	0.252974694338627	-3.87213626838688
TC1400010680.hg.1	NR_003214	SNORD114-21	small nucleolar RNA, C/D box 114-21	0.587597690634396	3.88350627582529	2.044459108161	0.0477477483580811	0.359602957431374	-4.46698948139204
TC1400010681.hg.1	NR_003215	SNORD114-22	small nucleolar RNA, C/D box 114-22	0.257086097352818	2.18205045816467	1.20031592680932	0.237306382729147	0.688357938800018	-5.74301532848279
TC1400010682.hg.1	NR_003216	SNORD114-23	small nucleolar RNA, C/D box 114-23	0.565386543343355	1.35258701657967	3.64751584104296	0.000777696087813053	0.0268612008224103	-0.750708181010021
TC1400010683.hg.1	NR_003217	SNORD114-24	small nucleolar RNA, C/D box 114-24	0.472102392528153	1.26174526878647	3.28720764491838	0.00215676537960771	0.0554456943845972	-1.69718446889705
TC1400010684.hg.1	NR_003218	SNORD114-25	small nucleolar RNA, C/D box 114-25	0.300216735946062	3.96597126986839	1.58762785028849	0.120501166500979	0.539751795447373	-5.22961553891134
TC1400010685.hg.1	NR_003220	SNORD114-27	small nucleolar RNA, C/D box 114-27	-0.0642780408224111	2.66410671458522	-0.460416438510313	0.647791771531556	0.911071878882239	-6.34474223354913
TC1400010686.hg.1	NR_003221	SNORD114-28	small nucleolar RNA, C/D box 114-28	0.330541317421503	5.29420425779348	2.16077497798684	0.0369587454886613	0.317867663205077	-4.24794324120639
TC1400010687.hg.1	NR_003222	SNORD114-29	small nucleolar RNA, C/D box 114-29	0.148735618934866	1.05016062737314	1.03129436350957	0.308799471002147	0.745210418732591	-5.92569448856206
TC1400010688.hg.1	NR_003223	SNORD114-30	small nucleolar RNA, C/D box 114-30	0.709877647952935	1.48378341926562	3.90902777726911	0.000361795575819552	0.0152947371014881	-0.034808717827854
TC1400010689.hg.1	NR_003224	SNORD114-31	small nucleolar RNA, C/D box 114-31	0.384728812297346	4.56533258380522	1.93586252976335	0.0602074050257845	0.400896309943968	-4.66270565738575
TC1400010707.hg.1	NR_026800	KIAA0125	KIAA0125	0.265863626016571	2.63066980061427	1.69785848687976	0.0975558543792968	0.496505284389297	-5.06050568781825
TC1400010745.hg.1	NR_027260	RN7SL2	RNA, 7SL, cytoplasmic 2	-0.16594659092479	12.5953381305955	-1.25977780471613	0.21528733113747	0.6659750017148	-5.67264155493561
TC1400010748.hg.1	NR_126496	LINC01588	long intergenic non-protein coding RNA 1588	1.43811964152735	4.18181635774898	3.19670778452223	0.00276675767193923	0.0657430712781654	-1.92659989379051
TC1400010749.hg.1	NR_131171	LINC01599	long intergenic non-protein coding RNA 1599	0.546565171543145	3.8608614805047	2.26812524988573	0.0289766355241289	0.280593615490483	-4.03744558929431
TC1400010755.hg.1	NR_029434	PSMA3-AS1	PSMA3 antisense RNA 1	-0.264857841650787	3.62728829283967	-1.25290466376878	0.217751528710549	0.66862272169502	-5.68093623775779
TC1400010769.hg.1	NR_110071	LOC101928075	uncharacterized LOC101928075	0.0504986210736955	1.72307963412163	0.35583212790104	0.723896987794161	0.934668015274072	-6.38726625598874
TC1400010770.hg.1	NR_104183	LOC100506603	uncharacterized LOC100506603	-0.144542749256432	2.16978243901021	-1.06883095654195	0.291761719988567	0.732305830540633	-5.88736883373197
TC1400010783.hg.1	NR_026779	LINC00341	long intergenic non-protein coding RNA 341	-0.425279134646247	4.06295675740962	-1.82408074669606	0.0758616916420014	0.445054925781495	-4.85497884441333
TC1400010785.hg.1	NR_015430	LINC01550	long intergenic non-protein coding RNA 1550	-0.0923399647641157	2.52206497426838	-0.750799227667104	0.457310607991858	0.834965079508094	-6.17054237154743
TC1400010792.hg.1	NR_002770	DIO3OS	DIO3 opposite strand/antisense RNA (head to head)	-0.112182111610232	3.79011680530356	-0.9482150927642	0.34889860964478	0.773453583488247	-6.00589954576731
TC1400010793.hg.1	NR_031649	MIR1247	microRNA 1247	0.142663195291118	4.11627491363146	1.21632920811016	0.231219844976588	0.68222051781586	-5.72437262552164
TC15_KI270727v1_random00006434.hg.1	NR_049886	MIR5701-1	microRNA 5701-1	-0.334309799659547	0.915042971432214	-2.84909917745812	0.00698574296117829	0.121870603187311	-2.77213919758068
TC15_KI270727v1_random00006443.hg.1	NR_028506_4	NF1P2	Homo sapiens neurofibromin 1 pseudogene 2 (NF1P2), non-coding RNA.	0.000620452097073843	1.6904049800626	0.00476135856513697	0.996225438056097	0.999279216244075	-6.45050334910167
TC1500006447.hg.1	NR_038836	CHEK2P2	checkpoint kinase 2 pseudogene 2	-0.612531644211839	4.19634098633951	-3.85628804393474	0.000422805263050633	0.0172130622717019	-0.180926618741927
TC1500006456.hg.1	NR_027411_7	GOLGA8CP	Homo sapiens golgin A8 family, member C, pseudogene (GOLGA8CP), non-coding RNA.	0.115319094742091	3.74681712076066	0.775520211004588	0.442741594352046	0.826913331756845	-6.15194917641994
TC1500006468.hg.1	NR_036062	MIR3118-2	microRNA 3118-2	-0.101579263041385	1.00729626617688	-0.844084221963658	0.403805437974647	0.806001719034289	-6.09733480158299
TC1500006470.hg.1	NR_040094	LINC01193	long intergenic non-protein coding RNA 1193	-0.336587738042307	1.88405652645812	-2.23403081418278	0.0313267638332096	0.291719399338724	-4.10514818645367
TC1500006471.hg.1	NR_049895	MIR5701-2	microRNA 5701-2	-0.334309799659547	0.915042971432214	-2.84909917745812	0.00698574296117829	0.121870603187311	-2.77213919758068
TC1500006487.hg.1	NR_036063	MIR3118-3	microRNA 3118-3	-0.101579263041385	1.00729626617688	-0.844084221963658	0.403805437974647	0.806001719034289	-6.09733480158299
TC1500006494.hg.1	NR_128721	MIR5701-3	microRNA 5701-3	-0.334309799659547	0.915042971432214	-2.84909917745812	0.00698574296117829	0.121870603187311	-2.77213919758068
TC1500006502.hg.1	NR_033735	REREP3	arginine-glutamic acid dipeptide (RE) repeats pseudogene 3	-0.100512842177446	4.65613679471801	-0.771312048729258	0.44520198005239	0.82846535927747	-6.15515545924251
TC1500006511.hg.1	NR_003521	WHAMMP3	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 3	0.248559941578302	4.44461467440216	1.72693801369822	0.092146883957682	0.485435676603584	-5.01426651087101
TC1500006522.hg.1	NR_027407	GOLGA8DP	golgin A8 family, member D, pseudogene	0.0569418440205958	2.07960667105193	0.497256980652553	0.621818829667267	0.902129094991243	-6.32719538070959
TC1500006526.hg.1	NR_039732	MIR4509-1	microRNA 4509-1	0.192086758424631	1.10912059133486	1.62029926508075	0.113282008472225	0.527078202751029	-5.18051991810362
TC1500006528.hg.1	NR_038843	GOLGA8S	golgin A8 family, member S	0.27959903202761	4.1437947248512	1.96245173533708	0.056922198285506	0.390297524147394	-4.61558728091427
TC1500006548.hg.1	NR_126392	PWRN4	Prader-Willi region non-protein coding RNA 4	-0.0780119297681736	1.89404460264864	-0.619603510830272	0.539146716017128	0.870107115245168	-6.2593896901857
TC1500006560.hg.1	NR_130780	PWRN3	Prader-Willi region non-protein coding RNA 3	0.0693927312776772	1.51734887304463	0.431697549899836	0.668354745363638	0.918147799533625	-6.35749462511273
TC1500006569.hg.1	NR_001292	SNORD108	small nucleolar RNA, C/D box 108	-0.210987623416329	2.70045900009831	-0.73271111340824	0.468145670488902	0.839710560906968	-6.1837764070839
TC1500006572.hg.1	NR_001289	SNORD109B	small nucleolar RNA, C/D box 109B	-0.14624230933036	2.6119507590788	-0.882341637952112	0.38303517368711	0.79422068392836	-6.06492579283935
TC1500006573.hg.1	NR_003316	SNORD116-1	small nucleolar RNA, C/D box 116-1	0.135674607711171	4.29205179886704	0.607372515345805	0.547148099641877	0.873507869396769	-6.26682468129111
TC1500006574.hg.1	NR_003317	SNORD116-2	small nucleolar RNA, C/D box 116-2	0.0117541332873419	8.46415690342908	0.0543567541611119	0.956930331373541	0.991680353322422	-6.4490363477832
TC1500006577.hg.1	NR_022009	PWAR1	Prader Willi/Angelman region RNA 1	-0.0103949826041805	1.65617975776771	-0.0825084392207421	0.934667314418248	0.98756142706998	-6.44710870289515
TC1500006579.hg.1	NR_001291	SNORD115-1	small nucleolar RNA, C/D box 115-1	0.108306189644651	1.14907421872793	0.604864210876831	0.548796520868779	0.874237268540788	-6.26833147203228
TC1500006580.hg.1	NR_003294	SNORD115-2	small nucleolar RNA, C/D box 115-2	0.25191769746432	1.00198092190183	1.46850123802528	0.150042918475529	0.586657138148263	-5.40115715542226
TC1500006581.hg.1	NR_003295	SNORD115-3	small nucleolar RNA, C/D box 115-3	0.132776492187329	1.00550750002052	1.01453069322563	0.31662514215787	0.750717711968826	-5.94239230114179
TC1500006582.hg.1	NR_003296	SNORD115-4	small nucleolar RNA, C/D box 115-4	0.332964921181431	1.33130761632749	1.31710205160227	0.195543355483666	0.645482239880171	-5.60184216133781
TC1500006583.hg.1	NR_003297	SNORD115-5	small nucleolar RNA, C/D box 115-5	0.28198167884701	1.31777582346617	1.01776632324296	0.315104234532089	0.749731383216848	-5.93918955053391
TC1500006584.hg.1	NR_003298	SNORD115-6	small nucleolar RNA, C/D box 115-6	0.205259201808799	1.20690004325687	1.25368033509369	0.217472380247488	0.668386735037364	-5.68000222727569
TC1500006585.hg.1	NR_003300	SNORD115-8	small nucleolar RNA, C/D box 115-8	0.0276881261245905	0.987478614198656	0.180584847543656	0.857634988790676	0.971415269044161	-6.43420442555435
TC1500006588.hg.1	NR_003303	SNORD115-11	small nucleolar RNA, C/D box 115-11	0.30695518375525	1.15730353501756	1.35210139678078	0.184185202706137	0.631802015359803	-5.55720352059492
TC1500006590.hg.1	NR_003306	SNORD115-14	small nucleolar RNA, C/D box 115-14	0.431213914016752	1.19591053396099	2.2006006663677	0.0337945656631999	0.303719847968693	-4.1707682753549
TC1500006592.hg.1	NR_003307	SNORD115-15	small nucleolar RNA, C/D box 115-15	0.231519635879297	1.37828117246111	1.07549959903937	0.288804813389253	0.729770230816856	-5.88042501390419
TC1500006593.hg.1	NR_003308	SNORD115-16	small nucleolar RNA, C/D box 115-16	0.0748488474943458	1.09773460766452	0.425963120864673	0.672492461205511	0.91937108392403	-6.35994359739135
TC1500006594.hg.1	NR_003309	SNORD115-17	small nucleolar RNA, C/D box 115-17	-0.0758679569233114	0.95569695188408	-0.692639006365006	0.492668109744259	0.850567631125083	-6.21197633616536
TC1500006598.hg.1	NR_003314	SNORD115-22	small nucleolar RNA, C/D box 115-22	0.236851492864	1.152237233836	1.09983747488281	0.278191659822519	0.721826470514307	-5.85473860410357
TC1500006599.hg.1	NR_003495	SNORD115-24	small nucleolar RNA, C/D box 115-24	0.1253694698311	2.21335420681833	0.519960304046771	0.606050378348266	0.896384859718944	-6.31571845079891
TC1500006600.hg.1	NR_003342	SNORD115-25	small nucleolar RNA, C/D box 115-25	0.0364416065962865	1.07804533919464	0.27227211107045	0.786858964629397	0.952226315285702	-6.41345800618195
TC1500006601.hg.1	NR_003496	SNORD115-27	small nucleolar RNA, C/D box 115-27	0.177452488693958	0.960188993500753	1.84682102092209	0.0724230917871688	0.435577696042773	-4.81663363962189
TC1500006602.hg.1	NR_003497	SNORD115-28	small nucleolar RNA, C/D box 115-28	0.046847282292596	0.965401730366075	0.359109438754589	0.721463455815299	0.934160843421251	-6.38609781061495
TC1500006605.hg.1	NR_003352	SNORD115-37	small nucleolar RNA, C/D box 115-37	-0.0650374665865252	0.781842147313269	-0.798118282570413	0.429668064896697	0.820223681791246	-6.13444246625171
TC1500006606.hg.1	NR_003353	SNORD115-38	small nucleolar RNA, C/D box 115-38	0.121260802762825	1.14604423161246	0.84070687899164	0.405672120761859	0.807138245262054	-6.10012945458836
TC1500006609.hg.1	NR_003498	SNORD115-45	small nucleolar RNA, C/D box 115-45	-0.218909962075751	1.35474115530855	-1.67909850497043	0.101183330309345	0.504481012065972	-5.08997826514884
TC1500006611.hg.1	NR_003362	SNORD115-48	small nucleolar RNA, C/D box 115-48	-0.00394873492120951	0.995678205046181	-0.0321043559866366	0.974553691355701	0.994988491003814	-6.44999898007245
TC1500006631.hg.1	NR_040082	LOC100128714	uncharacterized LOC100128714	-0.0936810154414704	3.07603460900629	-0.691513518380916	0.493367050592745	0.850881851899483	-6.21274607225631
TC1500006666.hg.1	NR_033351	GOLGA8F	golgin A8 family, member F	0.256663493662177	3.02528455183312	1.45157752932348	0.154670970392959	0.593747718428771	-5.42456300585227
TC1500006675.hg.1	NR_036443	HERC2P9	hect domain and RLD 2 pseudogene 9	-1.0002978806281	5.65688665691015	-4.13188179053358	0.000185875235527149	0.00932703781309739	0.591338628976599
TC1500006680.hg.1	NR_026589	WHAMMP2	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2	0.478295993812806	4.03676293974684	3.59548958603569	0.00090345870328972	0.0298694442280213	-0.89040691233568
