PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC2000007874.hg.1	NR_039757	MIR4532	microRNA 4532	0.285079773432825	4.14189933459279	2.04835575592686	0.0473459106793308	0.368921854040767	-4.28679631409656
TC2000007902.hg.1	NR_034147	APCDD1L-AS1	APCDD1L antisense RNA 1 (head to head)	-0.583044824368337	2.15093469596459	-1.55880092081137	0.127177529193251	0.547583006040753	-5.08844967034294
TC2000007905.hg.1	NR_125359	LOC79160	uncharacterized LOC79160	-0.0885515666792229	3.2050761082173	-0.612876118665806	0.543540155811638	0.868889068210642	-6.06720110431674
TC2000007950.hg.1	NR_030376	MIR646	microRNA 646	-0.033327154622286	2.11569314929189	-0.191179617279576	0.849383473975779	0.967634649219655	-6.23386589809766
TC2000007957.hg.1	NR_039758	MIR4533	microRNA 4533	-0.0222086792445788	6.01781429920327	-0.218970646309426	0.827822651717872	0.962162748800785	-6.2282385940304
TC2000007960.hg.1	NR_039653	MIR548AG2	microRNA 548ag-2	-0.12392981604607	0.960727865448175	-0.961959255167694	0.342037134126606	0.762373587926915	-5.80013627494348
TC2000007967.hg.1	NR_109919	LOC100506470	uncharacterized LOC100506470	-0.212240313519201	3.10178208379555	-1.85008758454632	0.0719402046981175	0.439017930632758	-4.63338200711316
TC2000007986.hg.1	NR_130463	MIR3195	microRNA 3195	0.0800319915269005	5.88425920457777	0.741542331388688	0.462837264580819	0.832810554991256	-5.98212351822161
TC2000008004.hg.1	NR_109922	LAMA5-AS1	LAMA5 antisense RNA 1	0.242458029083983	4.82460714675832	1.99887078075214	0.0526746484064866	0.386194397777446	-4.37597399317518
TC2000008017.hg.1	NR_029780	MIR1-1	microRNA 1-1	-0.0214053737491985	0.910821278727152	-0.208973119546993	0.835564339619569	0.964193122623193	-6.2303505784682
TC2000008040.hg.1	NR_033370	LOC63930	uncharacterized LOC63930	0.150519103630341	3.01270270737228	0.927926254921559	0.359192267443627	0.773696787084377	-5.83118287533022
TC2000008042.hg.1	NR_033369	LINC01056	long intergenic non-protein coding RNA 1056	0.120610259730555	1.82370836151081	0.81585286887488	0.419573214047479	0.810602452790078	-5.9258396565854
