Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
negative regulation of multicellular organismal process (GO:0051241)	27/214	0.020955950018901527	0.18582079481291175	0	0	1.5901639344262295	6.146512594449026	RB1;FOXA1;DLX1;GSK3B;BMPR2;ROCK2;PCTP;HMGCR;ADIPOR1;ADAMTS5;STK11;HEY1;SOX9;MAP2K6;IL10;SRGN;TGFB1;SFMBT1;LNPEP;ATP2B1;TBX18;SMAD7;TWSG1;NFIB;CALR;LGR4;PFN2
regulation of MAPK cascade (GO:0043408)	22/166	0.021095115094373656	0.18582079481291175	0	0	1.6814803605057842	6.48835143354175	LYN;EPHA7;MAP2K1;GPR37;ROCK2;RYK;PEBP1;ADRB2;IQGAP1;PRDM11;STK4;YWHAZ;IGF1R;STK3;TGFBR3;IL6;LBH;DHX33;TAOK1;NF1;PAK2;JCAD
membrane lipid biosynthetic process (GO:0046467)	10/58	0.021123574656983467	0.18582079481291175	0	0	2.2884114583333335	8.827239591964261	SGPL1;SPTLC1;SAMD8;ELOVL4;ELOVL5;PRKD2;DEGS1;SPTSSA;SGPP1;CERS2
mitochondrial respiratory chain complex I assembly (GO:0032981)	10/58	0.021123574656983467	0.18582079481291175	0	0	2.2884114583333335	8.827239591964261	NDUFA8;COA1;NDUFA6;NDUFA12;NDUFB5;NDUFA10;NDUFA1;NDUFC1;NDUFS1;NDUFV3
NADH dehydrogenase complex assembly (GO:0010257)	10/58	0.021123574656983467	0.18582079481291175	0	0	2.2884114583333335	8.827239591964261	NDUFA8;COA1;NDUFA6;NDUFA12;NDUFB5;NDUFA10;NDUFA1;NDUFC1;NDUFS1;NDUFV3
positive regulation of mitotic cell cycle phase transition (GO:1901992)	10/58	0.021123574656983467	0.18582079481291175	0	0	2.2884114583333335	8.827239591964261	RB1;CCNB1;CCND2;ANXA1;RAD51C;CCND1;CDC27;CDK1;FBXO5;RAB11A
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	8/42	0.021492510495546263	0.1886940882089298	0	0	2.5834333733493398	9.920515272155152	GSK3B;SP100;CASP8;FEM1B;TNFAIP3;PMAIP1;TNFRSF10B;THBS1
regulation of cellular component movement (GO:0051270)	9/50	0.021576602420204722	0.18906020981161703	0	0	2.4106789716545816	9.247715946418243	TGFBR3;LYN;SP100;CDK6;ROCK2;ZSWIM6;PKN2;RAF1;VEGFA
mitotic spindle organization (GO:0007052)	21/157	0.02173323924339475	0.19005930789321682	0	0	1.6991833030852994	6.506024066665106	DCTN6;NUP133;TTK;WDR62;MZT1;RAB11A;EML4;CENPE;CCNB1;DSN1;STAG2;XPO1;KIF2A;CENPI;TAOK1;ZNF207;SBDS;FLNA;CEP192;LSM14A;CENPQ
positive regulation of striated muscle cell differentiation (GO:0051155)	6/27	0.021850813973117746	0.19041493835206946	0	0	3.1354916067146283	11.988605791986524	EFNB2;EDN1;TGFB1;MAML1;ATP11A;MAPK14
eye morphogenesis (GO:0048592)	5/20	0.021859293371358647	0.19041493835206946	0	0	3.657080087876972	13.981489385250057	SKI;AGTPBP1;STAT3;NF1;VEGFA
spindle assembly (GO:0051225)	13/84	0.021997793201904772	0.19124787072221303	0	0	2.0123207638364806	7.680652332620589	HAUS3;CSNK1D;HAUS2;MZT1;RAB11A;HAUS1;STAG2;KIF2A;ZNF207;RPS3;FLNA;CEP192;LSM14A
cytoplasmic translation (GO:0002181)	14/93	0.022338465489564457	0.19362017338512025	0	0	1.9479792588073814	7.405136357546408	EIF4A2;RWDD1;EIF4A1;RPL5;RPL30;RPL31;RPS6;RPL8;GSPT1;RPL37A;RPS3;RPL27;RPL15;RPS23
regulation of Wnt signaling pathway (GO:0030111)	16/111	0.0223661065668417	0.19362017338512025	0	0	1.8519205129833027	7.037684196447828	AMER1;ZRANB1;CBFB;KREMEN1;GSKIP;TNFAIP3;TSKU;CDC73;SKI;MDFIC;PPP2R1A;GNAQ;BTRC;VGLL4;TRABD2A;DACT1
regulation of cell death (GO:0010941)	15/102	0.022444311578499368	0.19362017338512025	0	0	1.8955124607678078	7.196726428206797	CDKN1B;CELF1;TXNDC12;SOX11;PARP16;NPAS2;TBK1;SLFN11;APC;NOA1;CCL5;ADNP2;VPS35;SOX4;HSPA1A
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	15/102	0.022444311578499368	0.19362017338512025	0	0	1.8955124607678078	7.196726428206797	GSK3B;CSNK1A1;GLMN;CSNK1D;SMAD7;XPO1;HECTD1;RYBP;RNF217;MDM2;WAC;OGT;SOCS5;HSPA1A;TAF1
positive regulation of catabolic process (GO:0009896)	11/67	0.022557851162773018	0.1938497421694945	0	0	2.1579975947083585	8.182419286323627	GSK3B;ITCH;CDKN1B;APC;SMURF1;NEDD4;WNT5A;HUWE1;TNFAIP3;WWP1;DACT1
regulation of gene silencing by miRNA (GO:0060964)	11/67	0.022557851162773018	0.1938497421694945	0	0	2.1579975947083585	8.182419286323627	FXR1;NUP205;TGFB1;NUP133;NUP210;POLR2B;STAT3;NUP153;PUM1;NUP58;TNRC6A
mitotic DNA damage checkpoint signaling (GO:0044773)	10/59	0.023589621297831233	0.19832963635461254	0	0	2.2415865384615383	8.399109181610802	CDKN1A;CCND1;TAOK1;CDK2;SDE2;WAC;CDK1;HMGA2;TOPBP1;NEK11
anterograde axonal protein transport (GO:0099641)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	KIF5C;KIF5B;HSPB1
axo-dendritic protein transport (GO:0099640)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	KIF5C;KIF5B;HSPB1
commissural neuron axon guidance (GO:0071679)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	NFIB;RYK;VEGFA
histone H3-K4 monomethylation (GO:0097692)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	KMT2A;KMT2C;SETD1B
macromolecule modification (GO:0043412)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	SETD5;PARP1;CHD1
myoblast migration (GO:0051451)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	AKIRIN1;ANXA1;SIX1
negative regulation of regulated secretory pathway (GO:1903306)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	SYT4;REST;RAP1A
positive regulation of cell migration by vascular endothelial growth factor signaling pathway (GO:0038089)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	HSPB1;PRKD2;VEGFA
positive regulation of dendritic cell chemotaxis (GO:2000510)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	C1QBP;IL12A;CALR
positive regulation of myotube differentiation (GO:0010831)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	MAML1;ATP11A;MAPK14
protein localization to presynapse (GO:1905383)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	KIF5C;KIF5B;HSPB1
regulation of collateral sprouting (GO:0048670)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	SEMA4D;ULK2;ULK1
regulation of cytoplasmic translational elongation (GO:1900247)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	DPH3;CPEB3;CPEB2
regulation of dendritic cell chemotaxis (GO:2000508)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	C1QBP;IL12A;CALR
SREBP signaling pathway (GO:0032933)	3/8	0.02379066265688738	0.19832963635461254	0	0	6.578456014362657	24.59330849032533	INSIG2;ERLIN1;ERLIN2
cellular response to virus (GO:0098586)	7/35	0.02388642053523162	0.198756409677487	0	0	2.744151169766047	10.247882054135234	IL6;CHUK;CCL5;IL12A;RRP1B;MAPK14;HIF1A
regulation of protein phosphorylation (GO:0001932)	32/266	0.023988153120555723	0.19923121586159875	0	0	1.506772020779329	5.620553745063119	PPP1R15B;ROCK2;AKAP8L;PIK3R3;TWF1;HSPB1;EFNA5;STK4;CRKL;KLHL31;FXR1;CCND2;CCND1;PPP2R5E;RB1CC1;SOX9;FNIP1;FNIP2;LYN;EPHA7;TGFB1;SEMA4D;VEGFC;PPP2R5A;CSNK1D;ACVR2A;VEGFA;MOB1B;CCDC88A;DNAJC10;TERF2IP;ATF3
protein-containing complex subunit organization (GO:0043933)	16/112	0.02413760653887039	0.20009986089844226	0	0	1.832529151588259	6.824309638449662	NUP205;KMT2A;NUP133;RANBP9;WASL;CD2AP;PARD6B;TFAP4;APC;PPP2R1A;CAPZA2;MDM2;SOX9;DNM1L;KPNA3;VAMP3
