F1_H1	F1_H2	F1_H3	F1_N1	F1_N2	F1_N3	F2_H1	F2_H2	F2_H3	F2_N1	F2_N2	F2_N3	F3_H1	F3_H2	F3_H3	F3_N1	F3_N2	F3_N3
MIR6500	1.14614825763994	1.32153829020237	1.27426543336223	2.23441796321732	2.29106549712772	1.94958273262809	1.62929113668026	2.39161524786959	1.37399172539932	1.68694697407983	1.43750342739937	2.26107784821083	1.61840175569349	1.48329257058304	2.29608745844629	1.54010003831368	1.75005093592589	2.03558665203982
TTC39A-AS1	3.19836322255033	2.69205822473413	3.51392584088328	3.13518814716626	3.5171778014025	3.631907210412	3.27033870900766	3.23031986833856	3.86586785372544	3.46278928241644	3.19948296749469	3.35385321735946	3.13600367987577	3.49366469229582	3.63419263365571	3.13776857640027	3.98167546548154	3.51639410449474
LOC100507564	2.86370322591831	2.20846430978752	3.34938278416077	2.34940638657227	3.23054650444404	2.71346988557612	2.79910290622052	2.71691839248248	3.20246497290681	3.63319168304522	2.94113870013835	2.51111817629471	2.7987190785731	2.44904147936776	2.93813607470734	2.8398882994445	3.11801611110846	2.86673617077765
LOC105378732	2.41764371302939	2.67004621727078	2.57451234799615	1.98969338389492	2.65778568913937	1.84438847723257	2.42913303484784	2.51021626768972	1.91862309403285	2.43457468857418	2.37546651671659	1.97097999914088	2.25492737090763	2.22934618617894	2.11203126402839	2.31306280967299	2.29595261238264	2.08914811278338
SSBP3-AS1	2.1785437094594	1.72730862539104	1.1284240361148	2.0462393666031	1.94121424504957	1.96261708989699	1.6698902195822	2.74276345244117	2.03764107221695	1.80746014356244	2.55113199075877	2.22238736878559	1.90275523379472	2.14207140722358	2.2391950184583	2.44675627905917	1.97255865295575	1.39696997376536
LOC100507634	1.79290960603004	2.87339187986407	2.02093974289382	2.12175415344948	1.86766146614733	2.12374714006126	1.86834564722534	2.80792488019205	2.0197157819288	1.45003627524345	2.73145991838191	1.70453483324208	2.19143347083135	1.924333544832	1.7243838360144	2.34692949317488	1.84234511321829	2.44168269041463
MIR4422	1.80433811222972	1.79804608860516	1.12553539177673	1.43601942561107	1.31706043051856	1.07505705328878	2.70606500806409	1.90735754530081	1.84835155737229	1.37290041856525	1.63037384611832	1.27269736310564	1.6683689888941	1.22852734265457	1.85025480289725	1.49998006503014	1.2290355243793	1.35102822154847
DAB1-AS1	1.9227704214244	1.61750693541121	2.11253855364619	2.48086509658441	1.46868905812429	1.72593453743438	1.3252509525481	2.18614800517211	1.735437634563	1.34979653025912	1.66065884644927	1.44785603992592	1.61707627192592	1.93601223602681	1.90769765868433	1.53370418906365	1.52812334182681	1.94721875747326
LINC01135	2.55063687313505	3.04022169084851	2.61504580480811	2.89734111363413	2.5876703858671	3.09309072369007	3.10799284076739	2.88375884906045	2.44024948978661	2.55058108050598	3.07854654532698	2.65429914869568	2.97476677400744	2.8899806563977	2.60345419241583	3.13802799743609	2.89873594553624	2.9811347499425
LINC01358	1.79166372782766	1.91872032878499	1.77733396722041	1.16163059101989	1.70991339368716	1.63348637576414	1.75267040052982	1.75763059443381	1.72964572428516	1.63505519783423	2.2947531051852	1.34523223186481	1.22112456935369	1.33962522439625	1.4739057435408	1.50102206979598	1.70479956611773	1.30316713122686
MGC34796	3.87173823054309	3.86359117863576	4.28709173228988	4.06451526125283	4.26383639032651	4.1314926801175	4.01174479810923	4.24751449926392	4.21163458519026	4.02892622823492	3.72112043646293	3.72842248544199	4.639220856597	4.27287448088349	4.22757608152042	4.51617225733222	4.47282510780768	4.2767296239213
MIR3116-1	2.89638444444456	2.07430411268418	2.50594465478378	2.63792416503338	2.79897546715141	3.09801858398531	2.43407157189305	2.62066031863904	1.76120472183614	2.34644008015905	3.06572324652949	3.45096549878896	2.60226073366504	2.53479031752581	3.25804851424308	2.72553705158076	2.97938128178907	3.19981981135195
MIR3117	1.46229486302555	1.29350694216478	2.1106543517161	1.80958813304213	1.5243878583836	1.46267673403045	1.53508921424227	2.7336104530608	2.43896597514716	1.94265781908812	1.67194242624204	1.79339407879689	1.5243878583836	1.79962398196219	1.44761615746305	1.40949482455904	1.9741880851143	1.55584913294344
GNG12-AS1	2.54827488837784	2.64186217019154	2.40261255826702	1.88035684079835	1.93876704048998	2.2395634810437	2.03032380529375	2.37214822151829	2.58967622429469	2.46058967706059	2.36293851607693	2.13022374016822	2.97736046922937	2.82891845239405	2.35179729691259	2.36242132421296	1.93468559637049	2.40164943365248
DEPDC1-AS1	0.755953051287427	1.2094178700098	1.56947094490542	1.37072881287417	1.38756885110605	1.95065219323321	1.4207586703818	1.20141724442298	0.966129109637144	0.974585196598592	1.47999093614588	1.36219622813989	1.19291303326283	1.30058083131692	0.835484026737421	1.13936090357277	1.67644351213841	0.906858507915607
PIN1P1	4.88545236981334	5.14034406200321	4.95286905858707	5.16971470696459	4.71740603729802	5.6549664908593	5.16507407325499	5.09205941017435	5.25695743031325	4.72206100851492	5.10382512553394	5.36704076743337	4.52123252284398	5.00777238586916	5.01668272614871	4.66972189523537	5.92935464849516	4.42515476294351
ZRANB2-AS2	2.18121249817371	1.57170534433039	2.31740233183323	1.94468913546346	1.4960033264923	1.90988467918332	1.5053846139767	2.11594476086207	1.40068228498526	1.19641084891009	1.29223975192309	1.4160358517718	1.73884929328009	2.10984854131479	2.29788552842253	1.78311488785753	2.22184353087297	2.13230076909235
MIR7156	3.91402250686003	3.98472936297522	3.50107409545867	4.28132566571316	3.29439336044369	3.22384977350985	3.29400631736947	3.69015296885808	3.96276318639088	3.95577095459045	3.50033552886444	3.81748004232131	3.94793615365672	4.00509765003266	3.90175405684629	4.12727635335187	3.73648878763541	4.26607760779175
MGC27382	1.65780586515635	1.98295741611734	1.53840761724824	1.37205710319099	2.26348302307487	2.03724156216725	1.98285633571526	1.73786707778987	1.50669421500945	1.87526692327747	1.35103473718411	1.99412598232889	1.26388079680328	2.22787943395973	2.28724058321568	1.69865374700593	1.78537232753551	1.94916303598713
LOC646626	3.66005726824683	3.67753808882438	3.25322394597796	3.20248907655625	3.24683889187244	3.10147163370199	2.93067199836938	3.06823616115243	2.66880312886975	3.07028897389761	3.15231151117208	3.14400644996361	3.35026057289338	2.98987768959573	3.00990897280733	2.81857229741306	2.90421447022788	2.57506713864034
GBP1P1	4.31223577586978	3.91101430987314	4.16441950846923	4.77182171092046	4.75114080754085	5.02846752458552	3.01787589222188	2.71657874369856	2.87844136171258	3.98592291981577	3.62704678855017	4.224960953724	4.60616129448884	4.5773215894872	4.79733170677591	4.88983327912255	5.60247426500232	5.12094587844448
LOC100129046	2.61282868547121	2.85481835379599	3.01257463571628	2.79198142888251	2.17893206094026	2.43620289384571	2.69855089049849	2.00620149173035	3.17148393608382	3.08646943761053	3.39283584039285	3.24927726760672	2.62285081323291	2.4421596895389	2.90128662999402	3.70852090374482	3.10215541947291	3.36027554403055
LOC729970	2.87574656607856	2.23604949586287	3.13016045924465	2.53913629551488	3.07017199951168	2.82747210499274	3.25352108857737	2.9149084009801	3.08210140304518	3.28341770286779	3.37154317309787	3.862437385849	3.2116055066271	2.67312611843396	2.81928824147464	2.88499339108295	2.71575939931698	2.69551667601367
LOC729987	2.02835818941284	1.82985774857311	2.18454485506321	2.0618815139153	1.678550664355	1.99169020687366	1.82082353863855	1.83481674052678	1.48220520499898	2.05575992177666	1.4930809108053	1.91338950057177	1.54800552275993	1.87795366094088	1.62234476195474	2.14524184952256	1.65447690784453	1.70428911557829
